model,batch_size,hidden_dim,seq_len,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params
rnn,1.0,1024.0,2.0,cpu,False,False,False,0.0,relu,340.4609375,340.4609375,0.003333724749973,4200448.0,2099200.0,0.0
rnn,1.0,2048.0,2.0,cpu,False,False,False,0.0,relu,404.296875,404.296875,0.0092428039497463,16789504.0,8392704.0,0.0
rnn,1.0,3072.0,2.0,cpu,False,False,False,0.0,relu,476.2734375,476.2734375,0.0191070387503714,37767168.0,18880512.0,0.0
rnn,1.0,4096.0,2.0,cpu,False,False,False,0.0,relu,604.14453125,604.14453125,0.0325984783499734,67133440.0,33562624.0,0.0
rnn,1.0,1.0,4.0,cpu,False,False,False,0.0,relu,604.14453125,604.14453125,0.0002416387003904,20.0,4.0,0.0
rnn,1.0,2.0,4.0,cpu,False,False,False,0.0,relu,604.1484375,604.1484375,0.0002637771998706,56.0,12.0,0.0
rnn,1.0,4.0,4.0,cpu,False,False,False,0.0,relu,604.1484375,604.1484375,0.0002763179501926,176.0,40.0,0.0
rnn,1.0,8.0,4.0,cpu,False,False,False,0.0,relu,604.15234375,604.15234375,0.0002785874501569,608.0,144.0,0.0
rnn,1.0,16.0,4.0,cpu,False,False,False,0.0,relu,319.59765625,319.59765625,0.0002699848504562,2240.0,544.0,0.0
rnn,1.0,32.0,4.0,cpu,False,False,False,0.0,relu,319.59765625,319.59765625,0.000299614600226,8576.0,2112.0,0.0
rnn,1.0,64.0,4.0,cpu,False,False,False,0.0,relu,319.59765625,319.59765625,0.0003024603000085,33536.0,8320.0,0.0
rnn,1.0,256.0,4.0,cpu,False,False,False,0.0,relu,320.88671875,320.88671875,0.0008288814999104,527360.0,131584.0,0.0
rnn,1.0,512.0,4.0,cpu,False,False,False,0.0,relu,325.3125,325.3125,0.0015524729504249,2103296.0,525312.0,0.0
rnn,1.0,1024.0,4.0,cpu,False,False,False,0.0,relu,342.109375,342.109375,0.0052902282499417,8400896.0,2099200.0,0.0
rnn,1.0,2048.0,4.0,cpu,False,False,False,0.0,relu,407.65625,407.65625,0.0173068829499243,33579008.0,8392704.0,0.0
rnn,1.0,3072.0,4.0,cpu,False,False,False,0.0,relu,481.94609375,481.9609375,0.0369789780997962,75534336.0,18880512.0,0.0
rnn,1.0,4096.0,4.0,cpu,False,False,False,0.0,relu,609.96875,609.96875,0.0642447411497414,134266880.0,33562624.0,0.0
