model,batch_size,hidden_dim,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params,bidirectional,seq_len
lstm,1.0,4.0,cpu,False,False,False,0.0,relu,3617.03125,3617.03125,0.0001097135711461,768.0,160.0,0.0,False,4.0
lstm,1.0,4.0,cpu,False,False,False,0.0,relu,3617.03125,3617.03125,0.0002510712016373,1536.0,160.0,0.0,False,8.0
lstm,1.0,4.0,cpu,False,False,False,0.0,relu,3617.03515625,3617.03515625,0.0003197540529072,3072.0,160.0,0.0,False,16.0
lstm,1.0,4.0,cpu,False,False,False,0.0,relu,3617.03515625,3617.03515625,0.0009932406712323,6144.0,160.0,0.0,False,32.0
lstm,1.0,4.0,cpu,False,False,False,0.0,relu,3617.03515625,3617.03515625,0.0016177090816199,12288.0,160.0,0.0,False,64.0
lstm,1.0,4.0,cpu,False,False,False,0.0,relu,3617.03515625,3617.03515625,0.0025639207102358,24576.0,160.0,0.0,False,128.0
lstm,1.0,8.0,cpu,False,False,False,0.0,relu,3617.0390625,3617.0390625,8.68355855345726e-05,640.0,576.0,0.0,False,1.0
lstm,1.0,8.0,cpu,False,False,False,0.0,relu,3617.0390625,3617.0390625,0.0001822451595216,1280.0,576.0,0.0,False,2.0
lstm,1.0,8.0,cpu,False,False,False,0.0,relu,3617.0390625,3617.0390625,0.0001402550376951,2560.0,576.0,0.0,False,4.0
lstm,1.0,8.0,cpu,False,False,False,0.0,relu,3617.0390625,3617.0390625,0.000280363485217,5120.0,576.0,0.0,False,8.0
lstm,1.0,8.0,cpu,False,False,False,0.0,relu,3617.05078125,3617.05078125,0.0003287313040345,10240.0,576.0,0.0,False,16.0
lstm,1.0,8.0,cpu,False,False,False,0.0,relu,3617.05078125,3617.05078125,0.0009056614246219,20480.0,576.0,0.0,False,32.0
lstm,1.0,8.0,cpu,False,False,False,0.0,relu,3617.05078125,3617.05078125,0.001726617431268,40960.0,576.0,0.0,False,64.0
lstm,1.0,8.0,cpu,False,False,False,0.0,relu,3617.05078125,3617.05078125,0.0030413954984396,81920.0,576.0,0.0,False,128.0
lstm,1.0,16.0,cpu,False,False,False,0.0,relu,3617.21484375,3617.21484375,0.0001061863731592,2304.0,2176.0,0.0,False,1.0
lstm,1.0,16.0,cpu,False,False,False,0.0,relu,3617.23046875,3617.23046875,0.0001351971179246,4608.0,2176.0,0.0,False,2.0
lstm,1.0,16.0,cpu,False,False,False,0.0,relu,3617.234375,3617.234375,0.0003030578140169,9216.0,2176.0,0.0,False,4.0
lstm,1.0,16.0,cpu,False,False,False,0.0,relu,3617.234375,3617.234375,0.0003137321211397,18432.0,2176.0,0.0,False,8.0
lstm,1.0,16.0,cpu,False,False,False,0.0,relu,3617.25390625,3617.25390625,0.000510407006368,36864.0,2176.0,0.0,False,16.0
lstm,1.0,16.0,cpu,False,False,False,0.0,relu,3617.26953125,3617.26953125,0.00062817633152,73728.0,2176.0,0.0,False,32.0
lstm,1.0,16.0,cpu,False,False,False,0.0,relu,3617.26953125,3617.26953125,0.0017476521432399,147456.0,2176.0,0.0,False,64.0
lstm,1.0,16.0,cpu,False,False,False,0.0,relu,3617.26953125,3617.26953125,0.0046396169811487,294912.0,2176.0,0.0,False,128.0
lstm,1.0,32.0,cpu,False,False,False,0.0,relu,3617.26953125,3617.26953125,8.855187334120274e-05,8704.0,8448.0,0.0,False,1.0
lstm,1.0,32.0,cpu,False,False,False,0.0,relu,3617.28515625,3617.28515625,0.0001349240541458,17408.0,8448.0,0.0,False,2.0
lstm,1.0,32.0,cpu,False,False,False,0.0,relu,3617.28515625,3617.28515625,0.0001993180252611,34816.0,8448.0,0.0,False,4.0
lstm,1.0,32.0,cpu,False,False,False,0.0,relu,3617.28515625,3617.28515625,0.0003047799691557,69632.0,8448.0,0.0,False,8.0
lstm,1.0,32.0,cpu,False,False,False,0.0,relu,3617.2890625,3617.2890625,0.0009802805725485,139264.0,8448.0,0.0,False,16.0
lstm,1.0,32.0,cpu,False,False,False,0.0,relu,3617.3046875,3617.3046875,0.001067237695679,278528.0,8448.0,0.0,False,32.0
lstm,1.0,32.0,cpu,False,False,False,0.0,relu,3617.6484375,3617.6484375,0.0016786687076091,557056.0,8448.0,0.0,False,64.0
lstm,1.0,32.0,cpu,False,False,False,0.0,relu,3617.734375,3617.734375,0.008143715141341,1114112.0,8448.0,0.0,False,128.0
lstm,1.0,64.0,cpu,False,False,False,0.0,relu,3617.734375,3617.734375,9.46675892919302e-05,33792.0,33280.0,0.0,False,1.0
lstm,1.0,64.0,cpu,False,False,False,0.0,relu,3617.734375,3617.734375,0.0001432731747627,67584.0,33280.0,0.0,False,2.0
lstm,1.0,64.0,cpu,False,False,False,0.0,relu,3617.7421875,3617.7421875,0.0001612633001059,135168.0,33280.0,0.0,False,4.0
lstm,1.0,64.0,cpu,False,False,False,0.0,relu,3617.7421875,3617.7421875,0.0002224119845777,270336.0,33280.0,0.0,False,8.0
lstm,1.0,64.0,cpu,False,False,False,0.0,relu,3618.06640625,3618.09765625,0.0005789443850517,540672.0,33280.0,0.0,False,16.0
lstm,1.0,64.0,cpu,False,False,False,0.0,relu,3618.10546875,3618.10546875,0.0010404509957879,1081344.0,33280.0,0.0,False,32.0
lstm,1.0,64.0,cpu,False,False,False,0.0,relu,3618.20078125,3618.20703125,0.001996853435412,2162688.0,33280.0,0.0,False,64.0
