model,batch_size,hidden_dim,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params,bidirectional,seq_len
rnn,1.0,2048.0,cuda,True,False,False,0.0,relu,38431096832.0,38431096832.0,0.0005888179410248,67158016.0,8392704.0,0.0,False,8.0
rnn,1.0,2048.0,cuda,True,False,False,0.0,relu,38466748416.0,38466748416.0,0.001013565249741,134316032.0,8392704.0,0.0,False,16.0
rnn,1.0,2048.0,cuda,True,False,False,0.0,relu,38439485440.0,38439485440.0,0.001719811046496,268632064.0,8392704.0,0.0,False,32.0
rnn,1.0,2048.0,cuda,True,False,False,0.0,relu,38355599360.0,38355599360.0,0.0032263111323118,537264128.0,8392704.0,0.0,False,64.0
rnn,1.0,2048.0,cuda,True,False,False,0.0,relu,38393348096.0,38393348096.0,0.013607757538557,1074528256.0,8392704.0,0.0,False,128.0
rnn,1.0,3072.0,cuda,True,False,False,0.0,relu,38552731648.0,38552731648.0,0.0001730512361973,18883584.0,18880512.0,0.0,False,1.0
rnn,1.0,3072.0,cuda,True,False,False,0.0,relu,38630326272.0,38630326272.0,0.0006029769778251,37767168.0,18880512.0,0.0,False,2.0
rnn,1.0,3072.0,cuda,True,False,False,0.0,relu,38707920896.0,38707920896.0,0.0007727212738245,75534336.0,18880512.0,0.0,False,4.0
rnn,1.0,3072.0,cuda,True,False,False,0.0,relu,37432852480.0,37432852480.0,0.0022158415056765,151068672.0,18880512.0,0.0,False,8.0
rnn,1.0,3072.0,cuda,True,False,False,0.0,relu,38762446848.0,38762446848.0,0.0036656955257058,302137344.0,18880512.0,0.0,False,16.0
rnn,1.0,3072.0,cuda,True,False,False,0.0,relu,38840041472.0,38840041472.0,0.0051060669589787,604274688.0,18880512.0,0.0,False,32.0
rnn,1.0,3072.0,cuda,True,False,False,0.0,relu,38917636096.0,38917636096.0,0.0073857308365404,1208549376.0,18880512.0,0.0,False,64.0
rnn,1.0,3072.0,cuda,True,False,False,0.0,relu,39097991168.0,39097991168.0,0.0228507845662534,2417098752.0,18880512.0,0.0,False,128.0
rnn,1.0,4096.0,cuda,True,False,False,0.0,relu,39349649408.0,39349649408.0,0.0006093713454902,33566720.0,33562624.0,0.0,False,1.0
rnn,1.0,4096.0,cuda,True,False,False,0.0,relu,38133301248.0,38133301248.0,0.0008605810347944,67133440.0,33562624.0,0.0,False,2.0
rnn,1.0,4096.0,cuda,True,False,False,0.0,relu,39114768384.0,39114768384.0,0.0025621681474149,134266880.0,33562624.0,0.0,False,4.0
rnn,1.0,4096.0,cuda,True,False,False,0.0,relu,38657589248.0,38657589248.0,0.0016535147558897,268533760.0,33562624.0,0.0,False,8.0
rnn,1.0,4096.0,cuda,True,False,False,0.0,relu,38894567424.0,38894567424.0,0.0029878441244363,537067520.0,33562624.0,0.0,False,16.0
rnn,1.0,4096.0,cuda,True,False,False,0.0,relu,39030882304.0,39030882304.0,0.0054269468411803,1074135040.0,33562624.0,0.0,False,32.0
rnn,1.0,4096.0,cuda,True,False,False,0.0,relu,39171391488.0,39171391488.0,0.014425809495151,2148270080.0,33562624.0,0.0,False,64.0
rnn,1.0,4096.0,cuda,True,False,False,0.0,relu,37973917696.0,37973917696.0,0.0356637937948107,4296540160.0,33562624.0,0.0,False,128.0
lstm,1.0,1.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0001695757266134,24.0,16.0,0.0,False,1.0
lstm,1.0,1.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0001546413637697,48.0,16.0,0.0,False,2.0
lstm,1.0,1.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0001306456513702,96.0,16.0,0.0,False,4.0
lstm,1.0,1.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0001494453754276,192.0,16.0,0.0,False,8.0
lstm,1.0,1.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0002041337545961,384.0,16.0,0.0,False,16.0
lstm,1.0,1.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.00030377083458,768.0,16.0,0.0,False,32.0
lstm,1.0,1.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0005053716711699,1536.0,16.0,0.0,False,64.0
lstm,1.0,1.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0010280555579811,3072.0,16.0,0.0,False,128.0
lstm,1.0,2.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,9.950753301382064e-05,64.0,48.0,0.0,False,1.0
lstm,1.0,2.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0001196296885609,128.0,48.0,0.0,False,2.0
lstm,1.0,2.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0001387246418744,256.0,48.0,0.0,False,4.0
lstm,1.0,2.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0001859629526734,512.0,48.0,0.0,False,8.0
lstm,1.0,2.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0003749946597963,1024.0,48.0,0.0,False,16.0
lstm,1.0,2.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0013017201330512,2048.0,48.0,0.0,False,32.0
lstm,1.0,2.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0025669307913631,4096.0,48.0,0.0,False,64.0
lstm,1.0,2.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0050306912045925,8192.0,48.0,0.0,False,128.0
lstm,1.0,4.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0001541790552437,192.0,160.0,0.0,False,1.0
lstm,1.0,4.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0001502583734691,384.0,160.0,0.0,False,2.0
lstm,1.0,4.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0001518781296908,768.0,160.0,0.0,False,4.0
lstm,1.0,4.0,cuda,True,False,False,0.0,relu,36862427136.0,36862427136.0,0.0003970794845372,1536.0,160.0,0.0,False,8.0
lstm,1.0,4.0,cuda,True,False,False,0.0,relu,36862427136.0,36862427136.0,0.0007810016628354,3072.0,160.0,0.0,False,16.0
