avg_memory,img_size,in_channel,input_size,kernel_size,latency,macs,max_memory,out_channel,stride,total_params,trainable_params
383.85546875,28,32,"torch.Size([1, 32, 28, 28])",3,0.00471762845045305,200052736,383.85546875,1024,1,295936,0
383.87109375,56,32,"torch.Size([1, 32, 56, 56])",3,0.0194149765993643,862949376,383.87109375,1024,1,295936,0
450.01171875,112,32,"torch.Size([1, 32, 112, 112])",3,0.116228507699998,3580825600,496.51171875,1024,1,295936,0
699.298023897059,224,32,"torch.Size([1, 32, 224, 224])",3,0.516547784749855,14584909824,948.52734375,1024,1,295936,0
383.91015625,7,32,"torch.Size([1, 32, 7, 7])",3,0.000202471000375226,2663424,383.91015625,1024,2,295936,0
383.9140625,14,32,"torch.Size([1, 32, 14, 14])",3,0.000508735950279515,10653696,383.9140625,1024,2,295936,0
383.9375,28,32,"torch.Size([1, 32, 28, 28])",3,0.0014420223502384,50013184,383.9375,1024,2,295936,0
383.953125,56,32,"torch.Size([1, 32, 56, 56])",3,0.00511082429948146,215737344,383.953125,1024,2,295936,0
383.9765625,112,32,"torch.Size([1, 32, 112, 112])",3,0.0209398240498558,895206400,383.9765625,1024,2,295936,0
452.587673611111,224,32,"torch.Size([1, 32, 224, 224])",3,0.124424216449552,3646227456,502.90625,1024,2,295936,0
383.798177083333,7,32,"torch.Size([1, 32, 7, 7])",3,6.81296995026059E-05,295936,383.95703125,1024,5,295936,0
383.9921875,14,32,"torch.Size([1, 32, 14, 14])",3,0.00019710499982466,2663424,383.9921875,1024,5,295936,0
384,28,32,"torch.Size([1, 32, 28, 28])",3,0.00059490569983609,10653696,384,1024,5,295936,0
384.0234375,56,32,"torch.Size([1, 32, 56, 56])",3,0.00133860290006851,35808256,384.0234375,1024,5,295936,0
384.046875,112,32,"torch.Size([1, 32, 112, 112])",3,0.00430931830051122,143233024,384.046875,1024,5,295936,0
385.071614583333,224,32,"torch.Size([1, 32, 224, 224])",3,0.0157936201001576,599270400,385.07421875,1024,5,295936,0
385.07421875,7,64,"torch.Size([1, 64, 7, 7])",1,3.11187497572973E-05,101920,385.07421875,32,1,2080,0
385.078125,14,64,"torch.Size([1, 64, 14, 14])",1,5.29233504494187E-05,407680,385.078125,32,1,2080,0
385.09765625,28,64,"torch.Size([1, 64, 28, 28])",1,7.11410502844956E-05,1630720,385.09765625,32,1,2080,0
385.109375,56,64,"torch.Size([1, 64, 56, 56])",1,0.000197262949950527,6522880,385.109375,32,1,2080,0
385.125,112,64,"torch.Size([1, 64, 112, 112])",1,0.000703488900035154,26091520,385.125,32,1,2080,0
388.60546875,224,64,"torch.Size([1, 64, 224, 224])",1,0.00443380409997189,104366080,390.24609375,32,1,2080,0
390.24609375,7,64,"torch.Size([1, 64, 7, 7])",1,2.79070001852233E-05,33280,390.24609375,32,2,2080,0
390.24609375,14,64,"torch.Size([1, 64, 14, 14])",1,3.51782000507228E-05,101920,390.24609375,32,2,2080,0
390.27734375,28,64,"torch.Size([1, 64, 28, 28])",1,0.000100612299866043,407680,390.27734375,32,2,2080,0
390.3046875,56,64,"torch.Size([1, 64, 56, 56])",1,0.000169124799867859,1630720,390.3046875,32,2,2080,0
390.33203125,112,64,"torch.Size([1, 64, 112, 112])",1,0.00047722884992254,6522880,390.33203125,32,2,2080,0
390.359375,224,64,"torch.Size([1, 64, 224, 224])",1,0.00294713480034261,26091520,390.359375,32,2,2080,0
402.321614583333,7,64,"torch.Size([1, 64, 7, 7])",1,3.20786995871458E-05,8320,402.42578125,32,5,2080,0
402.58203125,14,64,"torch.Size([1, 64, 14, 14])",1,3.49553505657241E-05,18720,402.609375,32,5,2080,0
402.6171875,28,64,"torch.Size([1, 64, 28, 28])",1,9.75298004050273E-05,74880,402.6171875,32,5,2080,0
402.625,56,64,"torch.Size([1, 64, 56, 56])",1,0.000187089999963064,299520,402.625,32,5,2080,0
402.6328125,112,64,"torch.Size([1, 64, 112, 112])",1,0.000302653800463304,1100320,402.6328125,32,5,2080,0
