latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,total_nn_calls,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.linear.Linear'>_calls,total_params,trainable_params,model,batch_size,input_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
0.0045461095869541,2344353792.0,2344353792.0,116738162688.0,116067926016.0,635830272.0,0.0,0.0,1638400.0,32768000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,64.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0124523982405662,3629907968.0,3629907968.0,233476325376.0,232135852032.0,1271660544.0,0.0,0.0,3276800.0,65536000.0,52.0,20.0,20.0,9.0,1.0,1.0,1.0,11689512.0,0.0,resnet18,128.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0005826842039823,1509687296.0,1509687296.0,714206912.0,655566528.0,,0.0,0.0,18432.0,58621952.0,21.0,5.0,,7.0,3.0,1.0,3.0,61100840.0,0.0,alexnet,1.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.0007246293127536,1744568320.0,1744568320.0,1428413824.0,1311133056.0,,0.0,0.0,36864.0,117243904.0,21.0,5.0,,7.0,3.0,1.0,3.0,61100840.0,0.0,alexnet,2.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.0007418420165777,1763442688.0,1763442688.0,2856827648.0,2622266112.0,,0.0,0.0,73728.0,234487808.0,21.0,5.0,,7.0,3.0,1.0,3.0,61100840.0,0.0,alexnet,4.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.0007072925567626,1784414208.0,1784414208.0,5713655296.0,5244532224.0,,0.0,0.0,147456.0,468975616.0,21.0,5.0,,7.0,3.0,1.0,3.0,61100840.0,0.0,alexnet,8.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.0006604231894016,1784414208.0,1784414208.0,11427310592.0,10489064448.0,,0.0,0.0,294912.0,937951232.0,21.0,5.0,,7.0,3.0,1.0,3.0,61100840.0,0.0,alexnet,16.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.0006926257163286,1943797760.0,1943797760.0,22854621184.0,20978128896.0,,0.0,0.0,589824.0,1875902464.0,21.0,5.0,,7.0,3.0,1.0,3.0,61100840.0,0.0,alexnet,32.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.0006759889423847,1943797760.0,1943797760.0,45709242368.0,41956257792.0,,0.0,0.0,1179648.0,3751804928.0,21.0,5.0,,7.0,3.0,1.0,3.0,61100840.0,0.0,alexnet,64.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.0007150989025831,2635857920.0,2635857920.0,91418484736.0,83912515584.0,,0.0,0.0,2359296.0,7503609856.0,21.0,5.0,,7.0,3.0,1.0,3.0,61100840.0,0.0,alexnet,128.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.001750523597002,1272709120.0,1272709120.0,819094576.0,818924576.0,,0.0,0.0,170000.0,,57.0,26.0,,26.0,3.0,1.0,,1248424.0,0.0,squeezenet,1.0,224.0,True,False,False,False,,relu,1.0,0.0,,,,,,,,,,
0.0018415678292512,1293680640.0,1293680640.0,1638189152.0,1637849152.0,,0.0,0.0,340000.0,,57.0,26.0,,26.0,3.0,1.0,,1248424.0,0.0,squeezenet,2.0,224.0,True,False,False,False,,relu,1.0,0.0,,,,,,,,,,
0.0019322570413351,1318846464.0,1318846464.0,3276378304.0,3275698304.0,,0.0,0.0,680000.0,,57.0,26.0,,26.0,3.0,1.0,,1248424.0,0.0,squeezenet,4.0,224.0,True,False,False,False,,relu,1.0,0.0,,,,,,,,,,
0.0020466294139623,1358692352.0,1358692352.0,6552756608.0,6551396608.0,,0.0,0.0,1360000.0,,57.0,26.0,,26.0,3.0,1.0,,1248424.0,0.0,squeezenet,8.0,224.0,True,False,False,False,,relu,1.0,0.0,,,,,,,,,,
0.0020999819040298,1507590144.0,1507590144.0,13105513216.0,13102793216.0,,0.0,0.0,2720000.0,,57.0,26.0,,26.0,3.0,1.0,,1248424.0,0.0,squeezenet,16.0,224.0,True,False,False,False,,relu,1.0,0.0,,,,,,,,,,
0.0037342380732297,1656487936.0,1656487936.0,26211026432.0,26205586432.0,,0.0,0.0,5440000.0,,57.0,26.0,,26.0,3.0,1.0,,1248424.0,0.0,squeezenet,32.0,224.0,True,False,False,False,,relu,1.0,0.0,,,,,,,,,,
0.008533938974142,2241593344.0,2241593344.0,52422052864.0,52411172864.0,,0.0,0.0,10880000.0,,57.0,26.0,,26.0,3.0,1.0,,1248424.0,0.0,squeezenet,64.0,224.0,True,False,False,False,,relu,1.0,0.0,,,,,,,,,,
0.0181311950087547,3405512704.0,3405512704.0,104844105728.0,104822345728.0,,0.0,0.0,21760000.0,,57.0,26.0,,26.0,3.0,1.0,,1248424.0,0.0,squeezenet,128.0,224.0,True,False,False,False,,relu,1.0,0.0,,,,,,,,,,
0.0010034453123807,1870397440.0,1870397440.0,15470314496.0,15346630656.0,,0.0,0.0,50176.0,123633664.0,39.0,13.0,,15.0,5.0,1.0,3.0,138357544.0,0.0,vgg16,1.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.0012178659439086,2386296832.0,2386296832.0,30940628992.0,30693261312.0,,0.0,0.0,100352.0,247267328.0,39.0,13.0,,15.0,5.0,1.0,3.0,138357544.0,0.0,vgg16,2.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
