<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,accelerator,act_fn,avg_memory,batch_size,dropout,input_format,input_size,latency,macs,max_memory,model,num_layers,requires_grad,total_params,trainable_params,use_dquant,use_torchscript
0.0,67108864.0,0.0,relu,338.6953125,16.0,,bsh,"(16, 16, 512)",0.002142630299931625,67108864.0,338.6953125,feedforward,1.0,0.0,262656.0,0.0,0.0,0.0
0.0,268435456.0,0.0,relu,338.6953125,16.0,,bsh,"(16, 16, 1024)",0.007097126300141099,268435456.0,338.6953125,feedforward,1.0,0.0,1049600.0,0.0,0.0,0.0
0.0,1073741824.0,0.0,relu,338.6953125,16.0,,bsh,"(16, 16, 2048)",0.02737508620011795,1073741824.0,338.6953125,feedforward,1.0,0.0,4196352.0,0.0,0.0,0.0
0.0,2415919104.0,0.0,relu,375.22890625,16.0,,bsh,"(16, 16, 3072)",0.05677559460018529,2415919104.0,377.34765625,feedforward,1.0,0.0,9440256.0,0.0,0.0,0.0
0.0,4294967296.0,0.0,relu,459.23214285714283,16.0,,bsh,"(16, 16, 4096)",0.11921325030016305,4294967296.0,462.40625,feedforward,1.0,0.0,16781312.0,0.0,0.0,0.0
0.0,512.0,0.0,relu,462.5234375,16.0,,bsh,"(16, 32, 1)",2.093010007229168e-05,512.0,462.58203125,feedforward,1.0,0.0,2.0,0.0,0.0,0.0
0.0,2048.0,0.0,relu,462.58203125,16.0,,bsh,"(16, 32, 2)",3.5458799902698954e-05,2048.0,462.58203125,feedforward,1.0,0.0,6.0,0.0,0.0,0.0
0.0,8192.0,0.0,relu,362.57421875,16.0,,bsh,"(16, 32, 4)",2.752959990175441e-05,8192.0,362.57421875,feedforward,1.0,0.0,20.0,0.0,0.0,0.0
0.0,32768.0,0.0,relu,362.57421875,16.0,,bsh,"(16, 32, 8)",2.8781600121874362e-05,32768.0,362.57421875,feedforward,1.0,0.0,72.0,0.0,0.0,0.0
0.0,131072.0,0.0,relu,362.6953125,16.0,,bsh,"(16, 32, 16)",2.86241000139853e-05,131072.0,362.6953125,feedforward,1.0,0.0,272.0,0.0,0.0,0.0
0.0,524288.0,0.0,relu,362.6953125,16.0,,bsh,"(16, 32, 32)",6.398260011337697e-05,524288.0,362.6953125,feedforward,1.0,0.0,1056.0,0.0,0.0,0.0
0.0,2097152.0,0.0,relu,362.6953125,16.0,,bsh,"(16, 32, 64)",0.00011307900022075045,2097152.0,362.6953125,feedforward,1.0,0.0,4160.0,0.0,0.0,0.0
0.0,33554432.0,0.0,relu,362.6953125,16.0,,bsh,"(16, 32, 256)",0.000921193999965908,33554432.0,362.6953125,feedforward,1.0,0.0,65792.0,0.0,0.0,0.0
0.0,134217728.0,0.0,relu,362.6953125,16.0,,bsh,"(16, 32, 512)",0.0036085071002162294,134217728.0,362.6953125,feedforward,1.0,0.0,262656.0,0.0,0.0,0.0
0.0,536870912.0,0.0,relu,362.6953125,16.0,,bsh,"(16, 32, 1024)",0.013070918700032052,536870912.0,362.6953125,feedforward,1.0,0.0,1049600.0,0.0,0.0,0.0
0.0,2147483648.0,0.0,relu,362.6953125,16.0,,bsh,"(16, 32, 2048)",0.05891377320003812,2147483648.0,362.6953125,feedforward,1.0,0.0,4196352.0,0.0,0.0,0.0
0.0,4831838208.0,0.0,relu,405.22975852272725,16.0,,bsh,"(16, 32, 3072)",0.11894013910023205,4831838208.0,410.30078125,feedforward,1.0,0.0,9440256.0,0.0,0.0,0.0
0.0,8589934592.0,0.0,relu,475.034765625,16.0,,bsh,"(16, 32, 4096)",0.20878111299971353,8589934592.0,478.53515625,feedforward,1.0,0.0,16781312.0,0.0,0.0,0.0
0.0,1024.0,0.0,relu,478.703125,16.0,,bsh,"(16, 64, 1)",3.489740010991227e-05,1024.0,478.703125,feedforward,1.0,0.0,2.0,0.0,0.0,0.0
0.0,4096.0,0.0,relu,478.703125,16.0,,bsh,"(16, 64, 2)",3.903830001945607e-05,4096.0,478.703125,feedforward,1.0,0.0,6.0,0.0,0.0,0.0
0.0,16384.0,0.0,relu,478.703125,16.0,,bsh,"(16, 64, 4)",3.191069990862161e-05,16384.0,478.703125,feedforward,1.0,0.0,20.0,0.0,0.0,0.0
0.0,65536.0,0.0,relu,478.703125,16.0,,bsh,"(16, 64, 8)",3.901419986505061e-05,65536.0,478.703125,feedforward,1.0,0.0,72.0,0.0,0.0,0.0
0.0,262144.0,0.0,relu,478.703125,16.0,,bsh,"(16, 64, 16)",4.874959995504469e-05,262144.0,478.703125,feedforward,1.0,0.0,272.0,0.0,0.0,0.0
0.0,1048576.0,0.0,relu,322.8203125,16.0,,bsh,"(16, 64, 32)",9.98424002318643e-05,1048576.0,322.8203125,feedforward,1.0,0.0,1056.0,0.0,0.0,0.0
0.0,4194304.0,0.0,relu,322.8203125,16.0,,bsh,"(16, 64, 64)",0.00018464560016582255,4194304.0,322.8203125,feedforward,1.0,0.0,4160.0,0.0,0.0,0.0
0.0,67108864.0,0.0,relu,322.8203125,16.0,,bsh,"(16, 64, 256)",0.0018360525002208306,67108864.0,322.8203125,feedforward,1.0,0.0,65792.0,0.0,0.0,0.0
0.0,268435456.0,0.0,relu,322.8203125,16.0,,bsh,"(16, 64, 512)",0.006686120800077333,268435456.0,322.8203125,feedforward,1.0,0.0,262656.0,0.0,0.0,0.0
0.0,1073741824.0,0.0,relu,347.07769097222223,16.0,,bsh,"(16, 64, 1024)",0.031214643499697558,1073741824.0,350.54296875,feedforward,1.0,0.0,1049600.0,0.0,0.0,0.0
0.0,4294967296.0,0.0,relu,387.75613839285717,16.0,,bsh,"(16, 64, 2048)",0.10719818059988029,4294967296.0,394.12109375,feedforward,1.0,0.0,4196352.0,0.0,0.0,0.0
0.0,9663676416.0,0.0,relu,470.6953125,16.0,,bsh,"(16, 64, 3072)",0.23848139840010846,9663676416.0,470.6953125,feedforward,1.0,0.0,9440256.0,0.0,0.0,0.0
0.0,17179869184.0,0.0,relu,534.69921875,16.0,,bsh,"(16, 64, 4096)",0.4265955089002091,17179869184.0,534.69921875,feedforward,1.0,0.0,16781312.0,0.0,0.0,0.0
0.0,2048.0,0.0,relu,438.82421875,16.0,,bsh,"(16, 128, 1)",3.161189997626934e-05,2048.0,438.82421875,feedforward,1.0,0.0,2.0,0.0,0.0,0.0
0.0,8192.0,0.0,relu,322.82421875,16.0,,bsh,"(16, 128, 2)",4.574369995680172e-05,8192.0,322.82421875,feedforward,1.0,0.0,6.0,0.0,0.0,0.0
0.0,32768.0,0.0,relu,322.82421875,16.0,,bsh,"(16, 128, 4)",5.393699975684285e-05,32768.0,322.82421875,feedforward,1.0,0.0,20.0,0.0,0.0,0.0
0.0,131072.0,0.0,relu,322.82421875,16.0,,bsh,"(16, 128, 8)",5.864830018253997e-05,131072.0,322.82421875,feedforward,1.0,0.0,72.0,0.0,0.0,0.0
0.0,524288.0,0.0,relu,322.82421875,16.0,,bsh,"(16, 128, 16)",0.00010476970019226428,524288.0,322.82421875,feedforward,1.0,0.0,272.0,0.0,0.0,0.0
0.0,2097152.0,0.0,relu,322.82421875,16.0,,bsh,"(16, 128, 32)",0.00012406089990690816,2097152.0,322.82421875,feedforward,1.0,0.0,1056.0,0.0,0.0,0.0
0.0,8388608.0,0.0,relu,322.82421875,16.0,,bsh,"(16, 128, 64)",0.00034959330005222,8388608.0,322.82421875,feedforward,1.0,0.0,4160.0,0.0,0.0,0.0
0.0,134217728.0,0.0,relu,322.82421875,16.0,,bsh,"(16, 128, 256)",0.00416814060008619,134217728.0,322.82421875,feedforward,1.0,0.0,65792.0,0.0,0.0,0.0
0.0,536870912.0,0.0,relu,331.1819661458333,16.0,,bsh,"(16, 128, 512)",0.014299414400011302,536870912.0,334.14453125,feedforward,1.0,0.0,262656.0,0.0,0.0,0.0
0.0,2147483648.0,0.0,relu,371.9993489583333,16.0,,bsh,"(16, 128, 1024)",0.056859453300057795,2147483648.0,378.5,feedforward,1.0,0.0,1049600.0,0.0,0.0,0.0
0.0,8589934592.0,0.0,relu,437.2457682291667,16.0,,bsh,"(16, 128, 2048)",0.2178047961999255,8589934592.0,450.3828125,feedforward,1.0,0.0,4196352.0,0.0,0.0,0.0
0.0,19327352832.0,0.0,relu,544.11328125,16.0,,bsh,"(16, 128, 3072)",0.4395653625000705,19327352832.0,566.67578125,feedforward,1.0,0.0,9440256.0,0.0,0.0,0.0
0.0,34359738368.0,0.0,relu,489.81484375,16.0,,bsh,"(16, 128, 4096)",0.7952685869000561,34359738368.0,502.49609375,feedforward,1.0,0.0,16781312.0,0.0,0.0,0.0
0.0,4096.0,0.0,relu,438.4609375,16.0,,bsh,"(16, 256, 1)",2.8352799927233718e-05,4096.0,438.4609375,feedforward,1.0,0.0,2.0,0.0,0.0,0.0
0.0,16384.0,0.0,relu,438.625,16.0,,bsh,"(16, 256, 2)",7.847070010029711e-05,16384.0,438.625,feedforward,1.0,0.0,6.0,0.0,0.0,0.0
