model,batch_size,hidden_dim,bidirectional,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,34035466240.0,34035466240.0,0.0005738941021263599,67239936.0,8396800.0,0.0
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,36860329984.0,36860329984.0,0.002038176730275154,134479872.0,8396800.0,0.0
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,41916563456.0,41916563456.0,0.0034506638534367085,268959744.0,8396800.0,0.0
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,41952215040.0,41952215040.0,0.006491646915674209,537919488.0,8396800.0,0.0
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,41987866624.0,41987866624.0,0.01265903040766716,1075838976.0,8396800.0,0.0
rnn,1.0,2048.0,False,cuda,True,False,False,0.0,relu,42203873280.0,42203873280.0,0.0007318963296711444,33587200.0,33570816.0,0.0
rnn,1.0,2048.0,False,cuda,True,False,False,0.0,relu,42340188160.0,42340188160.0,0.0008537380024790763,67174400.0,33570816.0,0.0
rnn,1.0,2048.0,False,cuda,True,False,False,0.0,relu,42205970432.0,42205970432.0,0.0011403754353523255,134348800.0,33570816.0,0.0
rnn,1.0,2048.0,False,cuda,True,False,False,0.0,relu,42086432768.0,42086432768.0,0.001853480003774166,268697600.0,33570816.0,0.0
rnn,1.0,2048.0,False,cuda,True,False,False,0.0,relu,42250010624.0,42250010624.0,0.005759777128696441,537395200.0,33570816.0,0.0
rnn,1.0,2048.0,False,cuda,True,False,False,0.0,relu,34454896640.0,34454896640.0,0.011731321644037961,1074790400.0,33570816.0,0.0
rnn,1.0,2048.0,False,cuda,True,False,False,0.0,relu,34593308672.0,34593308672.0,0.01896949391812086,2149580800.0,33570816.0,0.0
rnn,1.0,2048.0,False,cuda,True,False,False,0.0,relu,34735915008.0,34735915008.0,0.019743329286575316,4299161600.0,33570816.0,0.0
