<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs
53.0,5529796608.0,53.0,405929459712.0,,,1.0,196608000.0,1.0,9830400.0,1.0,0.0,2291138560.0,96.0,224.0,0.018467785604298115,411665694720.0,2291138560.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0
53.0,7373062144.0,53.0,541239279616.0,,,1.0,262144000.0,1.0,13107200.0,1.0,0.0,2469396480.0,128.0,224.0,0.02285153940320015,548887592960.0,2469396480.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0
53.0,11059593216.0,53.0,811858919424.0,,,1.0,393216000.0,1.0,19660800.0,1.0,0.0,2804940800.0,192.0,224.0,0.03535200729966164,823331389440.0,2804940800.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0
53.0,14746124288.0,53.0,1082478559232.0,,,1.0,524288000.0,1.0,26214400.0,1.0,0.0,3157262336.0,256.0,224.0,0.05182287916541098,1097775185920.0,3157262336.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0
53.0,22119186432.0,53.0,1623717838848.0,,,1.0,786432000.0,1.0,39321600.0,1.0,0.0,3727687680.0,384.0,224.0,0.10855494253337383,1646662778880.0,3727687680.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0
53.0,29492248576.0,53.0,2164957118464.0,,,1.0,1048576000.0,1.0,52428800.0,1.0,0.0,4415553536.0,512.0,224.0,0.1564981421455741,2195550371840.0,4415553536.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0
53.0,57602048.0,53.0,11395973120.0,,,1.0,2048000.0,1.0,102400.0,1.0,0.0,1729101824.0,1.0,224.0,0.001765232160687447,11455725568.0,1729101824.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0
53.0,115204096.0,53.0,22791946240.0,,,1.0,4096000.0,1.0,204800.0,1.0,0.0,1903165440.0,2.0,224.0,0.0020605992525815965,22911451136.0,1903165440.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0
53.0,230408192.0,53.0,45583892480.0,,,1.0,8192000.0,1.0,409600.0,1.0,0.0,2064646144.0,4.0,224.0,0.002634182386100292,45822902272.0,2064646144.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0
53.0,460816384.0,53.0,91167784960.0,,,1.0,16384000.0,1.0,819200.0,1.0,0.0,2219835392.0,8.0,224.0,0.004027029126882553,91645804544.0,2219835392.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0
53.0,921632768.0,53.0,182335569920.0,,,1.0,32768000.0,1.0,1638400.0,1.0,0.0,2377121792.0,16.0,224.0,0.006884210370481014,183291609088.0,2377121792.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0
53.0,1843265536.0,53.0,364671139840.0,,,1.0,65536000.0,1.0,3276800.0,1.0,0.0,2626682880.0,32.0,224.0,0.012609440833330154,366583218176.0,2626682880.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0
53.0,3686531072.0,53.0,729342279680.0,,,1.0,131072000.0,1.0,6553600.0,1.0,0.0,2909798400.0,64.0,224.0,0.0245438389480114,733166436352.0,2909798400.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0
53.0,5529796608.0,53.0,1094013419520.0,,,1.0,196608000.0,1.0,9830400.0,1.0,0.0,3165650944.0,96.0,224.0,0.034416564367711545,1099749654528.0,3165650944.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0
53.0,7373062144.0,53.0,1458684559360.0,,,1.0,262144000.0,1.0,13107200.0,1.0,0.0,3404726272.0,128.0,224.0,0.04370006490498781,1466332872704.0,3404726272.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0
