<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,avg_memory,batch_size,input_size,latency,macs,max_macs,max_macs_macs,max_memory,max_params,max_params_macs,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
104.0,998317752320.0,,,1.0,262144000.0,,,4185653248.0,128.0,224.0,0.07418138645589352,1006903754752.0,,,4185653248.0,,,resnet101,245.0,44549160.0,0.0,104.0,8310751232.0,1.0,13107200.0,,,34.0,0.0,1.0,0.0,,,,,,
155.0,11511578624.0,,,1.0,2048000.0,,,1931214848.0,1.0,224.0,0.021947474405169486,11603945472.0,,,1931214848.0,,,resnet152,364.0,60192808.0,0.0,155.0,90216448.0,1.0,102400.0,,,51.0,0.0,1.0,0.0,,,,,,
155.0,23023157248.0,,,1.0,4096000.0,,,2082209792.0,2.0,224.0,0.026276688277721404,23207890944.0,,,2082209792.0,,,resnet152,364.0,60192808.0,0.0,155.0,180432896.0,1.0,204800.0,,,51.0,0.0,1.0,0.0,,,,,,
155.0,46046314496.0,,,1.0,8192000.0,,,2189164544.0,4.0,224.0,0.027058459445834158,46415781888.0,,,2189164544.0,,,resnet152,364.0,60192808.0,0.0,155.0,360865792.0,1.0,409600.0,,,51.0,0.0,1.0,0.0,,,,,,
155.0,92092628992.0,,,1.0,16384000.0,,,2319187968.0,8.0,224.0,0.02529151700437069,92831563776.0,,,2319187968.0,,,resnet152,364.0,60192808.0,0.0,155.0,721731584.0,1.0,819200.0,,,51.0,0.0,1.0,0.0,,,,,,
155.0,184185257984.0,,,1.0,32768000.0,,,2486960128.0,16.0,224.0,0.02555094435811044,185663127552.0,,,2486960128.0,,,resnet152,364.0,60192808.0,0.0,155.0,1443463168.0,1.0,1638400.0,,,51.0,0.0,1.0,0.0,,,,,,
155.0,368370515968.0,,,1.0,65536000.0,,,2812018688.0,32.0,224.0,0.03112389110028744,371326255104.0,,,2812018688.0,,,resnet152,364.0,60192808.0,0.0,155.0,2886926336.0,1.0,3276800.0,,,51.0,0.0,1.0,0.0,,,,,,
155.0,736741031936.0,,,1.0,131072000.0,,,3460038656.0,64.0,224.0,0.06151242665946484,742652510208.0,,,3460038656.0,,,resnet152,364.0,60192808.0,0.0,155.0,5773852672.0,1.0,6553600.0,,,51.0,0.0,1.0,0.0,,,,,,
155.0,1473482063872.0,,,1.0,262144000.0,,,4439408640.0,128.0,224.0,0.1067418172955513,1485305020416.0,,,4439408640.0,,,resnet152,364.0,60192808.0,0.0,155.0,11547705344.0,1.0,13107200.0,,,51.0,0.0,1.0,0.0,,,,,,
5.0,655566528.0,2.0,0.0,3.0,58621952.0,,,2010906624.0,1.0,224.0,0.0008097566664218902,714206912.0,,,2010906624.0,,,alexnet,21.0,61100840.0,0.0,,,1.0,18432.0,,,7.0,0.0,3.0,0.0,,,,,,
