img_size,in_channel,input_size,kernel_size,macs,out_channel,stride
7.0,512.0,"torch.Size([1, 512, 7, 7])",3.0,294976.0,64.0,5.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",3.0,2654784.0,64.0,5.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",3.0,10619136.0,64.0,5.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",3.0,35692096.0,64.0,5.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",3.0,142768384.0,64.0,5.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",3.0,597326400.0,64.0,5.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",1.0,3217536.0,128.0,1.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",1.0,12870144.0,128.0,1.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",1.0,51480576.0,128.0,1.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",1.0,205922304.0,128.0,1.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",1.0,823689216.0,128.0,1.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",1.0,3294756864.0,128.0,1.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",1.0,1050624.0,128.0,2.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",1.0,3217536.0,128.0,2.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",1.0,12870144.0,128.0,2.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",1.0,51480576.0,128.0,2.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",1.0,205922304.0,128.0,2.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",1.0,823689216.0,128.0,2.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",1.0,262656.0,128.0,5.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",1.0,590976.0,128.0,5.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",1.0,2363904.0,128.0,5.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",1.0,9455616.0,128.0,5.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",1.0,34736256.0,128.0,5.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",1.0,132969600.0,128.0,5.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",3.0,14748800.0,128.0,1.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",3.0,84953088.0,128.0,1.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",3.0,398807552.0,128.0,1.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",3.0,1720300032.0,128.0,1.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",3.0,7138419200.0,128.0,1.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",3.0,29075194368.0,128.0,1.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",3.0,5309568.0,128.0,2.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",3.0,21238272.0,128.0,2.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",3.0,99701888.0,128.0,2.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",3.0,430075008.0,128.0,2.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",3.0,1784604800.0,128.0,2.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",3.0,7268798592.0,128.0,2.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",3.0,589952.0,128.0,5.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",3.0,5309568.0,128.0,5.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",3.0,21238272.0,128.0,5.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",3.0,71384192.0,128.0,5.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",3.0,285536768.0,128.0,5.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",3.0,1194652800.0,128.0,5.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",1.0,6435072.0,256.0,1.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",1.0,25740288.0,256.0,1.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",1.0,102961152.0,256.0,1.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",1.0,411844608.0,256.0,1.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",1.0,1647378432.0,256.0,1.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",1.0,6589513728.0,256.0,1.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",1.0,2101248.0,256.0,2.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",1.0,6435072.0,256.0,2.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",1.0,25740288.0,256.0,2.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",1.0,102961152.0,256.0,2.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",1.0,411844608.0,256.0,2.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",1.0,1647378432.0,256.0,2.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",1.0,525312.0,256.0,5.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",1.0,1181952.0,256.0,5.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",1.0,4727808.0,256.0,5.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",1.0,18911232.0,256.0,5.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",1.0,69472512.0,256.0,5.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",1.0,265939200.0,256.0,5.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",3.0,29497600.0,256.0,1.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",3.0,169906176.0,256.0,1.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",3.0,797615104.0,256.0,1.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",3.0,3440600064.0,256.0,1.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",3.0,14276838400.0,256.0,1.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",3.0,58150388736.0,256.0,1.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",3.0,10619136.0,256.0,2.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",3.0,42476544.0,256.0,2.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",3.0,199403776.0,256.0,2.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",3.0,860150016.0,256.0,2.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",3.0,3569209600.0,256.0,2.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",3.0,14537597184.0,256.0,2.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",3.0,1179904.0,256.0,5.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",3.0,10619136.0,256.0,5.0
28.0,512.0,"torch.Size([1, 512, 28, 28])",3.0,42476544.0,256.0,5.0
56.0,512.0,"torch.Size([1, 512, 56, 56])",3.0,142768384.0,256.0,5.0
112.0,512.0,"torch.Size([1, 512, 112, 112])",3.0,571073536.0,256.0,5.0
224.0,512.0,"torch.Size([1, 512, 224, 224])",3.0,2389305600.0,256.0,5.0
7.0,512.0,"torch.Size([1, 512, 7, 7])",1.0,12870144.0,512.0,1.0
14.0,512.0,"torch.Size([1, 512, 14, 14])",1.0,51480576.0,512.0,1.0
