<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
53.0,230408192.0,53.0,16913727488.0,,,1.0,8192000.0,1.0,409600.0,1.0,0.0,1323302912.0,4.0,224.0,0.006603294797241689,17152737280.0,1323302912.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,460816384.0,53.0,33827454976.0,,,1.0,16384000.0,1.0,819200.0,1.0,0.0,1386217472.0,8.0,224.0,0.0067215945571661,34305474560.0,1386217472.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,921632768.0,53.0,67654909952.0,,,1.0,32768000.0,1.0,1638400.0,1.0,0.0,1579155456.0,16.0,224.0,0.007864549197256565,68610949120.0,1579155456.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,1843265536.0,53.0,135309819904.0,,,1.0,65536000.0,1.0,3276800.0,1.0,0.0,1860173824.0,32.0,224.0,0.018718965537846088,137221898240.0,1860173824.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,3686531072.0,53.0,270619639808.0,,,1.0,131072000.0,1.0,6553600.0,1.0,0.0,2275409920.0,64.0,224.0,0.031031440757215024,274443796480.0,2275409920.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,5529796608.0,53.0,405929459712.0,,,1.0,196608000.0,1.0,9830400.0,1.0,0.0,3011510272.0,96.0,224.0,0.04271490294486284,411665694720.0,3011510272.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,7373062144.0,53.0,541239279616.0,,,1.0,262144000.0,1.0,13107200.0,1.0,0.0,3785359360.0,128.0,224.0,0.05220162644982338,548887592960.0,3785359360.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,11059593216.0,53.0,811858919424.0,,,1.0,393216000.0,1.0,19660800.0,1.0,0.0,5561647104.0,192.0,224.0,0.07786147147417069,823331389440.0,5561647104.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,14746124288.0,53.0,1082478559232.0,,,1.0,524288000.0,1.0,26214400.0,1.0,0.0,7935623168.0,256.0,224.0,0.10541502125561238,1097775185920.0,7935623168.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,22119186432.0,53.0,1623717838848.0,,,1.0,786432000.0,1.0,39321600.0,1.0,0.0,11504975872.0,384.0,224.0,0.15878999829292298,1646662778880.0,11504975872.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
