latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,total_params,trainable_params,input_size,in_channel,out_channel,kernel_size,stride,img_size
4.415102303028107e-05,1274806272.0,1274806272.0,802816.0,802816.0,4224.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,128.0,1.0,1.0,14.0
0.00014385543763637543,1274806272.0,1274806272.0,3211264.0,3211264.0,4224.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,128.0,1.0,1.0,28.0
6.275959312915803e-05,1295777792.0,1295777792.0,12845056.0,12845056.0,4224.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,128.0,1.0,1.0,56.0
7.331259548664093e-05,1295777792.0,1295777792.0,51380224.0,51380224.0,4224.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,128.0,1.0,1.0,112.0
5.967989563941956e-05,1323040768.0,1323040768.0,205520896.0,205520896.0,4224.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,128.0,1.0,1.0,224.0
4.071183502674103e-05,1274806272.0,1274806272.0,65536.0,65536.0,4224.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,128.0,1.0,2.0,7.0
0.0001299973577260971,1274806272.0,1274806272.0,200704.0,200704.0,4224.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,128.0,1.0,2.0,14.0
0.00018643103539943694,1274806272.0,1274806272.0,802816.0,802816.0,4224.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,128.0,1.0,2.0,28.0
8.554980158805847e-05,1274806272.0,1274806272.0,3211264.0,3211264.0,4224.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,128.0,1.0,2.0,56.0
6.083399057388306e-05,1295777792.0,1295777792.0,12845056.0,12845056.0,4224.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,128.0,1.0,2.0,112.0
5.92939555644989e-05,1295777792.0,1295777792.0,51380224.0,51380224.0,4224.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,128.0,1.0,2.0,224.0
4.049837589263916e-05,1274806272.0,1274806272.0,16384.0,16384.0,4224.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,128.0,1.0,5.0,7.0
4.380643367767334e-05,1274806272.0,1274806272.0,36864.0,36864.0,4224.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,128.0,1.0,5.0,14.0
0.0001568283885717392,1274806272.0,1274806272.0,147456.0,147456.0,4224.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,128.0,1.0,5.0,28.0
6.094463169574738e-05,1274806272.0,1274806272.0,589824.0,589824.0,4224.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,128.0,1.0,5.0,56.0
6.025172770023346e-05,1295777792.0,1295777792.0,2166784.0,2166784.0,4224.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,128.0,1.0,5.0,112.0
6.030239164829254e-05,1295777792.0,1295777792.0,8294400.0,8294400.0,4224.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,128.0,1.0,5.0,224.0
4.1458010673522947e-05,1274806272.0,1274806272.0,921600.0,921600.0,36992.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,128.0,3.0,1.0,7.0
4.5404955744743344e-05,1274806272.0,1274806272.0,5308416.0,5308416.0,36992.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,128.0,3.0,1.0,14.0
0.00014699622988700867,1274806272.0,1274806272.0,24920064.0,24920064.0,36992.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,128.0,3.0,1.0,28.0
6.208233535289764e-05,1295777792.0,1295777792.0,107495424.0,107495424.0,36992.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,128.0,3.0,1.0,56.0
