<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
,,59.0,766644322304.0,3.0,0.0,1.0,26214400.0,13.0,0.0,5215617024.0,512.0,224.0,0.12090771291404966,773802000384.0,5215617024.0,googlenet,140.0,13004888.0,0.0,5.0,524288000.0,59.0,6607175680.0,,
37.0,0.0,56.0,143883992.0,,,,,1.0,0.0,1355808768.0,1.0,224.0,0.00914566870778799,152708792.0,1355808768.0,shufflenet,151.0,2278604.0,0.0,1.0,1024000.0,56.0,7800800.0,,
37.0,0.0,56.0,287767984.0,,,,,1.0,0.0,1334837248.0,2.0,224.0,0.009085074998438358,305417584.0,1334837248.0,shufflenet,151.0,2278604.0,0.0,1.0,2048000.0,56.0,15601600.0,,
37.0,0.0,56.0,575535968.0,,,,,1.0,0.0,1368391680.0,4.0,224.0,0.00869454126805067,610835168.0,1368391680.0,shufflenet,151.0,2278604.0,0.0,1.0,4096000.0,56.0,31203200.0,,
37.0,0.0,56.0,1151071936.0,,,,,1.0,0.0,1408237568.0,8.0,224.0,0.008479453064501286,1221670336.0,1408237568.0,shufflenet,151.0,2278604.0,0.0,1.0,8192000.0,56.0,62406400.0,,
37.0,0.0,56.0,2302143872.0,,,,,1.0,0.0,1494220800.0,16.0,224.0,0.008366665244102478,2443340672.0,1494220800.0,shufflenet,151.0,2278604.0,0.0,1.0,16384000.0,56.0,124812800.0,,
37.0,0.0,56.0,4604287744.0,,,,,1.0,0.0,1611661312.0,32.0,224.0,0.008751079067587852,4886681344.0,1611661312.0,shufflenet,151.0,2278604.0,0.0,1.0,32768000.0,56.0,249625600.0,,
37.0,0.0,56.0,9208575488.0,,,,,1.0,0.0,1836056576.0,64.0,224.0,0.009552145563066005,9773362688.0,1836056576.0,shufflenet,151.0,2278604.0,0.0,1.0,65536000.0,56.0,499251200.0,,
37.0,0.0,56.0,13812863232.0,,,,,1.0,0.0,2049966080.0,96.0,224.0,0.009688616171479229,14660044032.0,2049966080.0,shufflenet,151.0,2278604.0,0.0,1.0,98304000.0,56.0,748876800.0,,
37.0,0.0,56.0,18417150976.0,,,,,1.0,0.0,2307915776.0,128.0,224.0,0.009642277657985688,19546725376.0,2307915776.0,shufflenet,151.0,2278604.0,0.0,1.0,131072000.0,56.0,998502400.0,,
37.0,0.0,56.0,27625726464.0,,,,,1.0,0.0,2744123392.0,192.0,224.0,0.014263621158897875,29320088064.0,2744123392.0,shufflenet,151.0,2278604.0,0.0,1.0,196608000.0,56.0,1497753600.0,,
37.0,0.0,56.0,36834301952.0,,,,,1.0,0.0,3169845248.0,256.0,224.0,0.018601120822131632,39093450752.0,3169845248.0,shufflenet,151.0,2278604.0,0.0,1.0,262144000.0,56.0,1997004800.0,,
37.0,0.0,56.0,55251452928.0,,,,,1.0,0.0,4033871872.0,384.0,224.0,0.02763739749789238,58640176128.0,4033871872.0,shufflenet,151.0,2278604.0,0.0,1.0,393216000.0,56.0,2995507200.0,,
37.0,0.0,56.0,73668603904.0,,,,,1.0,0.0,4895801344.0,512.0,224.0,0.03645576871931553,78186901504.0,4895801344.0,shufflenet,151.0,2278604.0,0.0,1.0,524288000.0,56.0,3994009600.0,,
35.0,0.0,52.0,299494272.0,1.0,0.0,,,,,1293942784.0,1.0,224.0,0.0011036474257707595,327486720.0,1293942784.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,1280000.0,52.0,26712448.0,,
35.0,0.0,52.0,598988544.0,1.0,0.0,,,,,1304428544.0,2.0,224.0,0.001073218137025833,654973440.0,1304428544.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,2560000.0,52.0,53424896.0,,
35.0,0.0,52.0,1197977088.0,1.0,0.0,,,,,1346371584.0,4.0,224.0,0.0012026233598589895,1309946880.0,1346371584.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,5120000.0,52.0,106849792.0,,
35.0,0.0,52.0,2395954176.0,1.0,0.0,,,,,1388314624.0,8.0,224.0,0.0016978323459625245,2619893760.0,1388314624.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,10240000.0,52.0,213699584.0,,
35.0,0.0,52.0,4791908352.0,1.0,0.0,,,,,1472200704.0,16.0,224.0,0.002762801386415959,5239787520.0,1472200704.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,20480000.0,52.0,427399168.0,,
35.0,0.0,52.0,9583816704.0,1.0,0.0,,,,,1612709888.0,32.0,224.0,0.004929159209132196,10479575040.0,1612709888.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,40960000.0,52.0,854798336.0,,
35.0,0.0,52.0,19167633408.0,1.0,0.0,,,,,1862270976.0,64.0,224.0,0.009244927018880843,20959150080.0,1862270976.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,81920000.0,52.0,1709596672.0,,
35.0,0.0,52.0,28751450112.0,1.0,0.0,,,,,2151677952.0,96.0,224.0,0.013692328333854677,31438725120.0,2151677952.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,122880000.0,52.0,2564395008.0,,
35.0,0.0,52.0,38335266816.0,1.0,0.0,,,,,2401239040.0,128.0,224.0,0.01775411404669285,41918300160.0,2401239040.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,163840000.0,52.0,3419193344.0,,
35.0,0.0,52.0,57502900224.0,1.0,0.0,,,,,2898264064.0,192.0,224.0,0.026523529179394247,62877450240.0,2898264064.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,245760000.0,52.0,5128790016.0,,
35.0,0.0,52.0,76670533632.0,1.0,0.0,,,,,3382706176.0,256.0,224.0,0.0349202623590827,83836600320.0,3382706176.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,327680000.0,52.0,6838386688.0,,
35.0,0.0,52.0,115005800448.0,1.0,0.0,,,,,4372561920.0,384.0,224.0,0.05194295961409808,125754900480.0,4372561920.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,491520000.0,52.0,10257580032.0,,
35.0,0.0,52.0,153341067264.0,1.0,0.0,,,,,5576327168.0,512.0,224.0,0.06891221087425947,167673200640.0,5576327168.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,655360000.0,52.0,13676773376.0,,
17.0,0.0,53.0,4228431872.0,,,1.0,102400.0,1.0,0.0,1472200704.0,1.0,224.0,0.001744798757135868,4288184320.0,1472200704.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,2048000.0,53.0,57602048.0,,
17.0,0.0,53.0,8456863744.0,,,1.0,204800.0,1.0,0.0,1587544064.0,2.0,224.0,0.0034568959847092627,8576368640.0,1587544064.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,4096000.0,53.0,115204096.0,,
17.0,0.0,53.0,16913727488.0,,,1.0,409600.0,1.0,0.0,1696595968.0,4.0,224.0,0.004263036884367466,17152737280.0,1696595968.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,8192000.0,53.0,230408192.0,,
17.0,0.0,53.0,33827454976.0,,,1.0,819200.0,1.0,0.0,1851785216.0,8.0,224.0,0.008329464308917522,34305474560.0,1851785216.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,16384000.0,53.0,460816384.0,,
17.0,0.0,53.0,67654909952.0,,,1.0,1638400.0,1.0,0.0,2009071616.0,16.0,224.0,0.014580079354345797,68610949120.0,2009071616.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,32768000.0,53.0,921632768.0,,
17.0,0.0,53.0,135309819904.0,,,1.0,3276800.0,1.0,0.0,2250244096.0,32.0,224.0,0.026678729988634586,137221898240.0,2250244096.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,65536000.0,53.0,1843265536.0,,
17.0,0.0,53.0,270619639808.0,,,1.0,6553600.0,1.0,0.0,2644508672.0,64.0,224.0,0.05250299163162708,274443796480.0,2644508672.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,131072000.0,53.0,3686531072.0,,
17.0,0.0,53.0,405929459712.0,,,1.0,9830400.0,1.0,0.0,3009413120.0,96.0,224.0,0.07635441720485688,411665694720.0,3009413120.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,196608000.0,53.0,5529796608.0,,
17.0,0.0,53.0,541239279616.0,,,1.0,13107200.0,1.0,0.0,3388997632.0,128.0,224.0,0.09743198119103907,548887592960.0,3388997632.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,262144000.0,53.0,7373062144.0,,
17.0,0.0,53.0,811858919424.0,,,1.0,19660800.0,1.0,0.0,4030726144.0,192.0,224.0,0.1484792957082391,823331389440.0,4030726144.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,393216000.0,53.0,11059593216.0,,
17.0,0.0,53.0,1082478559232.0,,,1.0,26214400.0,1.0,0.0,4701814784.0,256.0,224.0,0.19547970741987228,1097775185920.0,4701814784.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,524288000.0,53.0,14746124288.0,,
17.0,0.0,53.0,1623717838848.0,,,1.0,39321600.0,1.0,0.0,5978980352.0,384.0,224.0,0.2880723631009461,1646662778880.0,5978980352.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,786432000.0,53.0,22119186432.0,,
