<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
53.0,3686531072.0,53.0,270619639808.0,,,1.0,131072000.0,1.0,6553600.0,1.0,0.0,3193962496.0,64.0,224.0,0.025887638899439482,274443796480.0,3193962496.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,5529796608.0,53.0,405929459712.0,,,1.0,196608000.0,1.0,9830400.0,1.0,0.0,3739222016.0,96.0,224.0,0.034654782500001605,411665694720.0,3739222016.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,7373062144.0,53.0,541239279616.0,,,1.0,262144000.0,1.0,13107200.0,1.0,0.0,4462739456.0,128.0,224.0,0.0398818551999284,548887592960.0,4462739456.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,11059593216.0,53.0,811858919424.0,,,1.0,393216000.0,1.0,19660800.0,1.0,0.0,5544869888.0,192.0,224.0,0.0699336838995805,823331389440.0,5544869888.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,14746124288.0,53.0,1082478559232.0,,,1.0,524288000.0,1.0,26214400.0,1.0,0.0,6989807616.0,256.0,224.0,0.0863306275998184,1097775185920.0,6989807616.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,22119186432.0,53.0,1623717838848.0,,,1.0,786432000.0,1.0,39321600.0,1.0,0.0,9172942848.0,384.0,224.0,0.13681800389967974,1646662778880.0,9172942848.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,29492248576.0,53.0,2164957118464.0,,,1.0,1048576000.0,1.0,52428800.0,1.0,0.0,12075401216.0,512.0,224.0,0.1820276964994264,2195550371840.0,12075401216.0,resnext50_32x4d,126.0,25028904.0,0.0,17.0,0.0,,,,,,
53.0,57602048.0,53.0,11395973120.0,,,1.0,2048000.0,1.0,102400.0,1.0,0.0,2002780160.0,1.0,224.0,0.008335169500060146,11455725568.0,2002780160.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,115204096.0,53.0,22791946240.0,,,1.0,4096000.0,1.0,204800.0,1.0,0.0,2139095040.0,2.0,224.0,0.008793017699645134,22911451136.0,2139095040.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,230408192.0,53.0,45583892480.0,,,1.0,8192000.0,1.0,409600.0,1.0,0.0,2271215616.0,4.0,224.0,0.009624449999682837,45822902272.0,2271215616.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,460816384.0,53.0,91167784960.0,,,1.0,16384000.0,1.0,819200.0,1.0,0.0,2428502016.0,8.0,224.0,0.010627966000174635,91645804544.0,2428502016.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,921632768.0,53.0,182335569920.0,,,1.0,32768000.0,1.0,1638400.0,1.0,0.0,2692743168.0,16.0,224.0,0.011009577199729392,183291609088.0,2692743168.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,1843265536.0,53.0,364671139840.0,,,1.0,65536000.0,1.0,3276800.0,1.0,0.0,3087007744.0,32.0,224.0,0.01859521130027133,366583218176.0,3087007744.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,3686531072.0,53.0,729342279680.0,,,1.0,131072000.0,1.0,6553600.0,1.0,0.0,3735027712.0,64.0,224.0,0.03735636029960007,733166436352.0,3735027712.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,5529796608.0,53.0,1094013419520.0,,,1.0,196608000.0,1.0,9830400.0,1.0,0.0,4280287232.0,96.0,224.0,0.05226549979997799,1099749654528.0,4280287232.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,7373062144.0,53.0,1458684559360.0,,,1.0,262144000.0,1.0,13107200.0,1.0,0.0,5003804672.0,128.0,224.0,0.061796536000474585,1466332872704.0,5003804672.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,11059593216.0,53.0,2188026839040.0,,,1.0,393216000.0,1.0,19660800.0,1.0,0.0,6085935104.0,192.0,224.0,0.1018616909001139,2199499309056.0,6085935104.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,14746124288.0,53.0,2917369118720.0,,,1.0,524288000.0,1.0,26214400.0,1.0,0.0,7530872832.0,256.0,224.0,0.1293806885005324,2932665745408.0,7530872832.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,22119186432.0,53.0,4376053678080.0,,,1.0,786432000.0,1.0,39321600.0,1.0,0.0,9714008064.0,384.0,224.0,0.20079030150009208,4398998618112.0,9714008064.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
53.0,29492248576.0,53.0,5834738237440.0,,,1.0,1048576000.0,1.0,52428800.0,1.0,0.0,21739077632.0,512.0,224.0,0.4696472736002761,5865331490816.0,21739077632.0,wide_resnet50_2,126.0,68883240.0,0.0,17.0,0.0,,,,,,
52.0,21826560.0,52.0,313135872.0,1.0,0.0,1.0,1280000.0,,,,,1711276032.0,1.0,224.0,0.006314368500170532,336242432.0,1711276032.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0,,,,,,
52.0,43653120.0,52.0,626271744.0,1.0,0.0,1.0,2560000.0,,,,,1719664640.0,2.0,224.0,0.0067458987003192325,672484864.0,1719664640.0,mnasnet,141.0,4383312.0,0.0,35.0,0.0,,,,,,
