accelerator,act_fn,avg_memory,batch_size,bidirectional,device,dropout,hidden_dim,latency,macs,max_memory,model,requires_grad,total_params,trainable_params,use_torchscript,seq_len
0.0,relu,292.2421875,1.0,0.0,cpu,0.0,512.0,0.003622020100010559,33652736.0,292.34765625,rnn,0.0,525312.0,0.0,0.0,64.0
0.0,relu,295.7427455357143,1.0,0.0,cpu,0.0,512.0,0.004859496900007798,67305472.0,295.77734375,rnn,0.0,525312.0,0.0,0.0,128.0
0.0,relu,303.3671875,1.0,0.0,cpu,0.0,1024.0,0.0010173262000535033,2100224.0,303.3671875,rnn,0.0,2099200.0,0.0,0.0,1.0
0.0,relu,303.3671875,1.0,0.0,cpu,0.0,1024.0,0.0009963743000298564,4200448.0,303.3671875,rnn,0.0,2099200.0,0.0,0.0,2.0
0.0,relu,294.9921875,1.0,0.0,cpu,0.0,1024.0,0.0015621055000337946,8400896.0,294.9921875,rnn,0.0,2099200.0,0.0,0.0,4.0
0.0,relu,302.8671875,1.0,0.0,cpu,0.0,1024.0,0.0032297437000124774,16801792.0,302.8671875,rnn,0.0,2099200.0,0.0,0.0,8.0
0.0,relu,310.87109375,1.0,0.0,cpu,0.0,1024.0,0.002587598399986746,33603584.0,310.87109375,rnn,0.0,2099200.0,0.0,0.0,16.0
0.0,relu,318.87109375,1.0,0.0,cpu,0.0,1024.0,0.006809139699998923,67207168.0,318.87109375,rnn,0.0,2099200.0,0.0,0.0,32.0
0.0,relu,326.87109375,1.0,0.0,cpu,0.0,1024.0,0.011498210399986419,134414336.0,326.87109375,rnn,0.0,2099200.0,0.0,0.0,64.0
0.0,relu,335.546875,1.0,0.0,cpu,0.0,1024.0,0.016617442700044192,268828672.0,335.546875,rnn,0.0,2099200.0,0.0,0.0,128.0
0.0,relu,367.60546875,1.0,0.0,cpu,0.0,2048.0,0.001779604900002596,8394752.0,367.60546875,rnn,0.0,8392704.0,0.0,0.0,1.0
