latency,avg_memory,max_memory,model,batch_size,input_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn
0.0297594886273145,3114008576.0,3114008576.0,wide_resnet50_2,32.0,224.0,True,False,True,False,,relu
0.056327748671174,4229693440.0,4229693440.0,wide_resnet50_2,64.0,224.0,True,False,True,False,,relu
0.1091115217655897,4854644736.0,4854644736.0,wide_resnet50_2,128.0,224.0,True,False,True,False,,relu
0.0038800321519374846,1285292032.0,1285292032.0,mnasnet,1.0,224.0,True,False,True,False,,relu
0.0032789714634418486,1293680640.0,1293680640.0,mnasnet,2.0,224.0,True,False,True,False,,relu
0.00310203842818737,1297874944.0,1297874944.0,mnasnet,4.0,224.0,True,False,True,False,,relu
0.0030110727995634077,1318846464.0,1318846464.0,mnasnet,8.0,224.0,True,False,True,False,,relu
0.003058252111077309,1379663872.0,1379663872.0,mnasnet,16.0,224.0,True,False,True,False,,relu
0.0030617579817771912,1478230016.0,1478230016.0,mnasnet,32.0,224.0,True,False,True,False,,relu
0.003803614154458046,1635516416.0,1635516416.0,mnasnet,64.0,224.0,True,False,True,False,,relu
0.007871324568986893,1922826240.0,1922826240.0,mnasnet,128.0,224.0,True,False,True,False,,relu
