<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
35.0,0.0,52.0,349224960.0,52.0,5010173952.0,1.0,20480000.0,,,1398800384.0,16.0,224.0,0.0050004014745354645,5379878912.0,1398800384.0,mnasnet,141.0,4383312.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,698449920.0,52.0,10020347904.0,1.0,40960000.0,,,1660944384.0,32.0,224.0,0.00911431536078453,10759757824.0,1660944384.0,mnasnet,141.0,4383312.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,1396899840.0,52.0,20040695808.0,1.0,81920000.0,,,2176843776.0,64.0,224.0,0.016012322343885898,21519515648.0,2176843776.0,mnasnet,141.0,4383312.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,2095349760.0,52.0,30061043712.0,1.0,122880000.0,,,2642411520.0,96.0,224.0,0.02375317644327879,32279273472.0,2642411520.0,mnasnet,141.0,4383312.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,2793799680.0,52.0,40081391616.0,1.0,163840000.0,,,3263168512.0,128.0,224.0,0.030962449684739112,43039031296.0,3263168512.0,mnasnet,141.0,4383312.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,4190699520.0,52.0,60122087424.0,1.0,245760000.0,,,4196401152.0,192.0,224.0,0.04488170612603426,64558546944.0,4196401152.0,mnasnet,141.0,4383312.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,5587599360.0,52.0,80162783232.0,1.0,327680000.0,,,5437915136.0,256.0,224.0,0.05844274014234543,86078062592.0,5437915136.0,mnasnet,141.0,4383312.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,8381399040.0,52.0,120244174848.0,1.0,491520000.0,,,7295991808.0,384.0,224.0,0.0870846463367343,129117093888.0,7295991808.0,mnasnet,141.0,4383312.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,11175198720.0,52.0,160325566464.0,1.0,655360000.0,,,9764339712.0,512.0,224.0,0.11603867672383784,172156125184.0,9764339712.0,mnasnet,141.0,4383312.0,0.0,1.0,0.0,,,,,,,,
,,,,,,73.0,10872225792.0,,,1308622848.0,1.0,128.0,0.00537625215947628,10882056192.0,1308622848.0,bert,135.0,109482240.0,0.0,37.0,0.0,,,25.0,9830400.0,,,,
,,,,,,73.0,21744451584.0,,,1782579200.0,2.0,128.0,0.007746500149369241,21764112384.0,1782579200.0,bert,135.0,109482240.0,0.0,37.0,0.0,,,25.0,19660800.0,,,,
,,,,,,73.0,43488903168.0,,,2277507072.0,4.0,128.0,0.010935728624463079,43528224768.0,2277507072.0,bert,135.0,109482240.0,0.0,37.0,0.0,,,25.0,39321600.0,,,,
,,,,,,73.0,86977806336.0,,,2277507072.0,8.0,128.0,0.01974378675222397,87056449536.0,2277507072.0,bert,135.0,109482240.0,0.0,37.0,0.0,,,25.0,78643200.0,,,,
,,,,,,73.0,173955612672.0,,,2382364672.0,16.0,128.0,0.035887404717504984,174112899072.0,2382364672.0,bert,135.0,109482240.0,0.0,37.0,0.0,,,25.0,157286400.0,,,,
