<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
26.0,0.0,26.0,52411172864.0,1.0,10880000.0,1463812096.0,64.0,224.0,0.0042547212913632395,52422052864.0,1463812096.0,squeezenet,57.0,1248424.0,0.0,,,,,3.0,0.0,1.0,0.0,,
26.0,0.0,26.0,78616759296.0,1.0,16320000.0,1566572544.0,96.0,224.0,0.006205233186483384,78633079296.0,1566572544.0,squeezenet,57.0,1248424.0,0.0,,,,,3.0,0.0,1.0,0.0,,
26.0,0.0,26.0,104822345728.0,1.0,21760000.0,1673527296.0,128.0,224.0,0.008237697184085846,104844105728.0,1673527296.0,squeezenet,57.0,1248424.0,0.0,,,,,3.0,0.0,1.0,0.0,,
26.0,0.0,26.0,157233518592.0,1.0,32640000.0,1879048192.0,192.0,224.0,0.012432259507477285,157266158592.0,1879048192.0,squeezenet,57.0,1248424.0,0.0,,,,,3.0,0.0,1.0,0.0,,
26.0,0.0,26.0,209644691456.0,1.0,43520000.0,2086666240.0,256.0,224.0,0.016588728129863742,209688211456.0,2086666240.0,squeezenet,57.0,1248424.0,0.0,,,,,3.0,0.0,1.0,0.0,,
26.0,0.0,26.0,314467037184.0,1.0,65280000.0,2495610880.0,384.0,224.0,0.02432152908295393,314532317184.0,2495610880.0,squeezenet,57.0,1248424.0,0.0,,,,,3.0,0.0,1.0,0.0,,
26.0,0.0,26.0,419289382912.0,1.0,87040000.0,2925527040.0,512.0,224.0,0.032246737554669384,419376422912.0,2925527040.0,squeezenet,57.0,1248424.0,0.0,,,,,3.0,0.0,1.0,0.0,,
15.0,0.0,13.0,15346630656.0,1.0,50176.0,2258632704.0,1.0,224.0,0.001286490261554718,15470314496.0,2258632704.0,vgg16,39.0,138357544.0,0.0,,,3.0,123633664.0,5.0,0.0,2.0,0.0,,
15.0,0.0,13.0,30693261312.0,1.0,100352.0,2275409920.0,2.0,224.0,0.0016138872131705286,30940628992.0,2275409920.0,vgg16,39.0,138357544.0,0.0,,,3.0,247267328.0,5.0,0.0,2.0,0.0,,
15.0,0.0,13.0,61386522624.0,1.0,200704.0,2506096640.0,4.0,224.0,0.0023953991010785105,61881257984.0,2506096640.0,vgg16,39.0,138357544.0,0.0,,,3.0,494534656.0,5.0,0.0,2.0,0.0,,
15.0,0.0,13.0,122773045248.0,1.0,401408.0,3214934016.0,8.0,224.0,0.004637932032346725,123762515968.0,3214934016.0,vgg16,39.0,138357544.0,0.0,,,3.0,989069312.0,5.0,0.0,2.0,0.0,,
15.0,0.0,13.0,245546090496.0,1.0,802816.0,3581935616.0,16.0,224.0,0.006976072676479816,247525031936.0,3581935616.0,vgg16,39.0,138357544.0,0.0,,,3.0,1978138624.0,5.0,0.0,2.0,0.0,,
15.0,0.0,13.0,491092180992.0,1.0,1605632.0,4406116352.0,32.0,224.0,0.0132688632234931,495050063872.0,4406116352.0,vgg16,39.0,138357544.0,0.0,,,3.0,3956277248.0,5.0,0.0,2.0,0.0,,
15.0,0.0,13.0,982184361984.0,1.0,3211264.0,4819255296.0,64.0,224.0,0.02554212547838688,990100127744.0,4819255296.0,vgg16,39.0,138357544.0,0.0,,,3.0,7912554496.0,5.0,0.0,2.0,0.0,,
15.0,0.0,13.0,1473276542976.0,1.0,4816896.0,5440012288.0,96.0,224.0,0.038454720936715606,1485150191616.0,5440012288.0,vgg16,39.0,138357544.0,0.0,,,3.0,11868831744.0,5.0,0.0,2.0,0.0,,
15.0,0.0,13.0,1964368723968.0,1.0,6422528.0,6377439232.0,128.0,224.0,0.05052375644445418,1980200255488.0,6377439232.0,vgg16,39.0,138357544.0,0.0,,,3.0,15825108992.0,5.0,0.0,2.0,0.0,,
15.0,0.0,13.0,2946553085952.0,1.0,9633792.0,7287603200.0,192.0,224.0,0.07579209916293621,2970300383232.0,7287603200.0,vgg16,39.0,138357544.0,0.0,,,3.0,23737663488.0,5.0,0.0,2.0,0.0,,
15.0,0.0,13.0,3928737447936.0,1.0,12845056.0,8829009920.0,256.0,224.0,0.09994277898222208,3960400510976.0,8829009920.0,vgg16,39.0,138357544.0,0.0,,,3.0,31650217984.0,5.0,0.0,2.0,0.0,,
15.0,0.0,13.0,5893106171904.0,1.0,19267584.0,10861150208.0,384.0,224.0,0.14965340569615365,5940600766464.0,10861150208.0,vgg16,39.0,138357544.0,0.0,,,3.0,47475326976.0,5.0,0.0,2.0,0.0,,
15.0,0.0,13.0,7857474895872.0,1.0,25690112.0,13075742720.0,512.0,224.0,0.19999115597456693,7920801021952.0,13075742720.0,vgg16,39.0,138357544.0,0.0,,,3.0,63300435968.0,5.0,0.0,2.0,0.0,,
160.0,0.0,160.0,7725699072.0,,,1398800384.0,1.0,224.0,0.0055989321321249005,7845841056.0,1398800384.0,densenet,486.0,28681000.0,0.0,161.0,117656448.0,1.0,2208000.0,1.0,0.0,,,3.0,277536.0
160.0,0.0,160.0,15451398144.0,,,1453326336.0,2.0,224.0,0.005070517770946026,15691682112.0,1453326336.0,densenet,486.0,28681000.0,0.0,161.0,235312896.0,1.0,4416000.0,1.0,0.0,,,3.0,555072.0
160.0,0.0,160.0,30902796288.0,,,1537212416.0,4.0,224.0,0.006270965188741685,31383364224.0,1537212416.0,densenet,486.0,28681000.0,0.0,161.0,470625792.0,1.0,8832000.0,1.0,0.0,,,3.0,1110144.0
160.0,0.0,160.0,61805592576.0,,,1644167168.0,8.0,224.0,0.008861210569739342,62766728448.0,1644167168.0,densenet,486.0,28681000.0,0.0,161.0,941251584.0,1.0,17664000.0,1.0,0.0,,,3.0,2220288.0
160.0,0.0,160.0,123611185152.0,,,1774190592.0,16.0,224.0,0.013620234094560145,125533456896.0,1774190592.0,densenet,486.0,28681000.0,0.0,161.0,1882503168.0,1.0,35328000.0,1.0,0.0,,,3.0,4440576.0
160.0,0.0,160.0,247222370304.0,,,1933574144.0,32.0,224.0,0.024930679984390736,251066913792.0,1933574144.0,densenet,486.0,28681000.0,0.0,161.0,3765006336.0,1.0,70656000.0,1.0,0.0,,,3.0,8881152.0
160.0,0.0,160.0,494444740608.0,,,2243952640.0,64.0,224.0,0.0452669907361269,502133827584.0,2243952640.0,densenet,486.0,28681000.0,0.0,161.0,7530012672.0,1.0,141312000.0,1.0,0.0,,,3.0,17762304.0
160.0,0.0,160.0,741667110912.0,,,2543845376.0,96.0,224.0,0.06887121144682169,753200741376.0,2543845376.0,densenet,486.0,28681000.0,0.0,161.0,11295019008.0,1.0,211968000.0,1.0,0.0,,,3.0,26643456.0
160.0,0.0,160.0,988889481216.0,,,2824863744.0,128.0,224.0,0.08980380482971669,1004267655168.0,2824863744.0,densenet,486.0,28681000.0,0.0,161.0,15060025344.0,1.0,282624000.0,1.0,0.0,,,3.0,35524608.0
160.0,0.0,160.0,1483334221824.0,,,3336568832.0,192.0,224.0,0.13295543659478426,1506401482752.0,3336568832.0,densenet,486.0,28681000.0,0.0,161.0,22590038016.0,1.0,423936000.0,1.0,0.0,,,3.0,53286912.0
160.0,0.0,160.0,1977778962432.0,,,3900702720.0,256.0,224.0,0.17329568844288587,2008535310336.0,3900702720.0,densenet,486.0,28681000.0,0.0,161.0,30120050688.0,1.0,565248000.0,1.0,0.0,,,3.0,71049216.0
160.0,0.0,160.0,2966668443648.0,,,4882169856.0,384.0,224.0,0.25982008818536995,3012802965504.0,4882169856.0,densenet,486.0,28681000.0,0.0,161.0,45180076032.0,1.0,847872000.0,1.0,0.0,,,3.0,106573824.0
160.0,0.0,160.0,3955557924864.0,,,5855248384.0,512.0,224.0,0.34317121375352144,4017070620672.0,5855248384.0,densenet,486.0,28681000.0,0.0,161.0,60240101376.0,1.0,1130496000.0,1.0,0.0,,,3.0,142098432.0
,,96.0,2835873120.0,1.0,53248.0,1384120320.0,1.0,224.0,0.0010163174942135812,2856567712.0,1384120320.0,inception,198.0,27161264.0,0.0,96.0,18593344.0,2.0,2048000.0,2.0,0.0,1.0,0.0,,
,,96.0,5671746240.0,1.0,106496.0,1461714944.0,2.0,224.0,0.0010886229574680328,5713135424.0,1461714944.0,inception,198.0,27161264.0,0.0,96.0,37186688.0,2.0,4096000.0,2.0,0.0,1.0,0.0,,
,,96.0,11343492480.0,1.0,212992.0,1539309568.0,4.0,224.0,0.0012526527047157284,11426270848.0,1539309568.0,inception,198.0,27161264.0,0.0,96.0,74373376.0,2.0,8192000.0,2.0,0.0,1.0,0.0,,
,,96.0,22686984960.0,1.0,425984.0,1608515584.0,8.0,224.0,0.0017352947965264321,22852541696.0,1608515584.0,inception,198.0,27161264.0,0.0,96.0,148746752.0,2.0,16384000.0,2.0,0.0,1.0,0.0,,
,,96.0,45373969920.0,1.0,851968.0,1684013056.0,16.0,224.0,0.002616783790290356,45705083392.0,1684013056.0,inception,198.0,27161264.0,0.0,96.0,297493504.0,2.0,32768000.0,2.0,0.0,1.0,0.0,,
,,96.0,90747939840.0,1.0,1703936.0,1780482048.0,32.0,224.0,0.004294722154736519,91410166784.0,1780482048.0,inception,198.0,27161264.0,0.0,96.0,594987008.0,2.0,65536000.0,2.0,0.0,1.0,0.0,,
,,96.0,181495879680.0,1.0,3407872.0,1946157056.0,64.0,224.0,0.00786365680396557,182820333568.0,1946157056.0,inception,198.0,27161264.0,0.0,96.0,1189974016.0,2.0,131072000.0,2.0,0.0,1.0,0.0,,
,,96.0,272243819520.0,1.0,5111808.0,2095054848.0,96.0,224.0,0.011055432446300984,274230500352.0,2095054848.0,inception,198.0,27161264.0,0.0,96.0,1784961024.0,2.0,196608000.0,2.0,0.0,1.0,0.0,,
,,96.0,362991759360.0,1.0,6815744.0,2262827008.0,128.0,224.0,0.01431811507791281,365640667136.0,2262827008.0,inception,198.0,27161264.0,0.0,96.0,2379948032.0,2.0,262144000.0,2.0,0.0,1.0,0.0,,
,,96.0,544487639040.0,1.0,10223616.0,2541748224.0,192.0,224.0,0.02116753365844488,548461000704.0,2541748224.0,inception,198.0,27161264.0,0.0,96.0,3569922048.0,2.0,393216000.0,2.0,0.0,1.0,0.0,,
,,96.0,725983518720.0,1.0,13631488.0,2826960896.0,256.0,224.0,0.027633542381227016,731281334272.0,2826960896.0,inception,198.0,27161264.0,0.0,96.0,4759896064.0,2.0,524288000.0,2.0,0.0,1.0,0.0,,
,,96.0,1088975278080.0,1.0,20447232.0,3273654272.0,384.0,224.0,0.04088146742433309,1096922001408.0,3273654272.0,inception,198.0,27161264.0,0.0,96.0,7139844096.0,2.0,786432000.0,2.0,0.0,1.0,0.0,,
,,96.0,1451967037440.0,1.0,27262976.0,3720347648.0,512.0,224.0,0.05426344610750675,1462562668544.0,3720347648.0,inception,198.0,27161264.0,0.0,96.0,9519792128.0,2.0,1048576000.0,2.0,0.0,1.0,0.0,,
,,59.0,1497352192.0,1.0,51200.0,1285554176.0,1.0,224.0,0.0007389482110738754,1511332032.0,1285554176.0,googlenet,140.0,13004888.0,0.0,59.0,12904640.0,5.0,1024000.0,13.0,0.0,3.0,0.0,,
,,59.0,2994704384.0,1.0,102400.0,1340080128.0,2.0,224.0,0.0007034040987491608,3022664064.0,1340080128.0,googlenet,140.0,13004888.0,0.0,59.0,25809280.0,5.0,2048000.0,13.0,0.0,3.0,0.0,,
,,59.0,5989408768.0,1.0,204800.0,1377828864.0,4.0,224.0,0.0007081778720021247,6045328128.0,1377828864.0,googlenet,140.0,13004888.0,0.0,59.0,51618560.0,5.0,4096000.0,13.0,0.0,3.0,0.0,,
,,59.0,11978817536.0,1.0,409600.0,1419771904.0,8.0,224.0,0.0009793881326913834,12090656256.0,1419771904.0,googlenet,140.0,13004888.0,0.0,59.0,103237120.0,5.0,8192000.0,13.0,0.0,3.0,0.0,,
,,59.0,23957635072.0,1.0,819200.0,1451229184.0,16.0,224.0,0.0015445452183485036,24181312512.0,1451229184.0,googlenet,140.0,13004888.0,0.0,59.0,206474240.0,5.0,16384000.0,13.0,0.0,3.0,0.0,,
,,59.0,47915270144.0,1.0,1638400.0,1507852288.0,32.0,224.0,0.0027067434042692185,48362625024.0,1507852288.0,googlenet,140.0,13004888.0,0.0,59.0,412948480.0,5.0,32768000.0,13.0,0.0,3.0,0.0,,
,,59.0,95830540288.0,1.0,3276800.0,1631584256.0,64.0,224.0,0.004956400021910667,96725250048.0,1631584256.0,googlenet,140.0,13004888.0,0.0,59.0,825896960.0,5.0,65536000.0,13.0,0.0,3.0,0.0,,
,,59.0,143745810432.0,1.0,4915200.0,1761607680.0,96.0,224.0,0.007290842942893505,145087875072.0,1761607680.0,googlenet,140.0,13004888.0,0.0,59.0,1238845440.0,5.0,98304000.0,13.0,0.0,3.0,0.0,,
,,59.0,191661080576.0,1.0,6553600.0,1872756736.0,128.0,224.0,0.009447948075830936,193450500096.0,1872756736.0,googlenet,140.0,13004888.0,0.0,59.0,1651793920.0,5.0,131072000.0,13.0,0.0,3.0,0.0,,
,,59.0,287491620864.0,1.0,9830400.0,2084569088.0,192.0,224.0,0.014167582802474496,290175750144.0,2084569088.0,googlenet,140.0,13004888.0,0.0,59.0,2477690880.0,5.0,196608000.0,13.0,0.0,3.0,0.0,,
,,59.0,383322161152.0,1.0,13107200.0,2298478592.0,256.0,224.0,0.018534948490560053,386901000192.0,2298478592.0,googlenet,140.0,13004888.0,0.0,59.0,3303587840.0,5.0,262144000.0,13.0,0.0,3.0,0.0,,
,,59.0,574983241728.0,1.0,19660800.0,2711617536.0,384.0,224.0,0.02768652141094208,580351500288.0,2711617536.0,googlenet,140.0,13004888.0,0.0,59.0,4955381760.0,5.0,393216000.0,13.0,0.0,3.0,0.0,,
,,59.0,766644322304.0,1.0,26214400.0,3126853632.0,512.0,224.0,0.036529597081243995,773802000384.0,3126853632.0,googlenet,140.0,13004888.0,0.0,59.0,6607175680.0,5.0,524288000.0,13.0,0.0,3.0,0.0,,
