<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
17.0,0.0,53.0,8456863744.0,,,1.0,4096000.0,1.0,204800.0,1.0,0.0,2032140288.0,2.0,224.0,0.001214770899969153,8576368640.0,2032140288.0,resnext50_32x4d,126.0,25028904.0,0.0,53.0,115204096.0,,
17.0,0.0,53.0,16913727488.0,,,1.0,8192000.0,1.0,409600.0,1.0,0.0,2099249152.0,4.0,224.0,0.001244781800050987,17152737280.0,2099249152.0,resnext50_32x4d,126.0,25028904.0,0.0,53.0,230408192.0,,
17.0,0.0,53.0,33827454976.0,,,1.0,16384000.0,1.0,819200.0,1.0,0.0,2189426688.0,8.0,224.0,0.0015649708999262654,34305474560.0,2189426688.0,resnext50_32x4d,126.0,25028904.0,0.0,53.0,460816384.0,,
17.0,0.0,53.0,67654909952.0,,,1.0,32768000.0,1.0,1638400.0,1.0,0.0,2258632704.0,16.0,224.0,0.0026064482000947467,68610949120.0,2258632704.0,resnext50_32x4d,126.0,25028904.0,0.0,53.0,921632768.0,,
17.0,0.0,53.0,135309819904.0,,,1.0,65536000.0,1.0,3276800.0,1.0,0.0,2384461824.0,32.0,224.0,0.004671387800044613,137221898240.0,2384461824.0,resnext50_32x4d,126.0,25028904.0,0.0,53.0,1843265536.0,,
17.0,0.0,53.0,270619639808.0,,,1.0,131072000.0,1.0,6553600.0,1.0,0.0,2594177024.0,64.0,224.0,0.009011836600257084,274443796480.0,2594177024.0,resnext50_32x4d,126.0,25028904.0,0.0,53.0,3686531072.0,,
17.0,0.0,53.0,405929459712.0,,,1.0,196608000.0,1.0,9830400.0,1.0,0.0,2770337792.0,96.0,224.0,0.012600559299607994,411665694720.0,2770337792.0,resnext50_32x4d,126.0,25028904.0,0.0,53.0,5529796608.0,,
17.0,0.0,53.0,541239279616.0,,,1.0,262144000.0,1.0,13107200.0,1.0,0.0,2959081472.0,128.0,224.0,0.016613284900086,548887592960.0,2959081472.0,resnext50_32x4d,126.0,25028904.0,0.0,53.0,7373062144.0,,
17.0,0.0,53.0,811858919424.0,,,1.0,393216000.0,1.0,19660800.0,1.0,0.0,3292528640.0,192.0,224.0,0.024594091100152586,823331389440.0,3292528640.0,resnext50_32x4d,126.0,25028904.0,0.0,53.0,11059593216.0,,
17.0,0.0,53.0,1082478559232.0,,,1.0,524288000.0,1.0,26214400.0,1.0,0.0,3646947328.0,256.0,224.0,0.0324184567994962,1097775185920.0,3646947328.0,resnext50_32x4d,126.0,25028904.0,0.0,53.0,14746124288.0,,
