accelerator,act_fn,avg_memory,batch_size,device,dropout,hidden_dim,latency,macs,max_memory,model,requires_grad,total_params,trainable_params,use_torchscript
0.0,relu,275.22265625,1.0,cpu,,32.0,0.00023405660176649689,0.0,275.22265625,mha,0.0,4224.0,0.0,0.0
0.0,relu,275.36328125,1.0,cpu,,64.0,0.0003078990033827722,0.0,275.36328125,mha,0.0,16640.0,0.0,0.0
0.0,relu,275.65234375,1.0,cpu,,128.0,0.0005095092987176031,0.0,275.65234375,mha,0.0,66048.0,0.0,0.0
0.0,relu,277.04296875,1.0,cpu,,256.0,0.0012561836978420616,0.0,277.05078125,mha,0.0,263168.0,0.0,0.0
0.0,relu,277.2734375,1.0,cpu,,16.0,0.00023880660301074387,0.0,277.2734375,mha,0.0,1088.0,0.0,0.0
0.0,relu,277.2734375,1.0,cpu,,32.0,0.000247702602064237,0.0,277.2734375,mha,0.0,4224.0,0.0,0.0
0.0,relu,277.2734375,1.0,cpu,,64.0,0.0003318784001749009,0.0,277.2734375,mha,0.0,16640.0,0.0,0.0
0.0,relu,277.2734375,1.0,cpu,,128.0,0.0005207761016208679,0.0,277.2734375,mha,0.0,66048.0,0.0,0.0
0.0,relu,277.2734375,1.0,cpu,,256.0,0.0011874162999447435,0.0,277.2734375,mha,0.0,263168.0,0.0,0.0
0.0,relu,277.2734375,1.0,cpu,,16.0,0.0002587693044915795,0.0,277.2734375,mha,0.0,1088.0,0.0,0.0
0.0,relu,277.2734375,1.0,cpu,,32.0,0.00023481490206904708,0.0,277.2734375,mha,0.0,4224.0,0.0,0.0
0.0,relu,277.27734375,1.0,cpu,,64.0,0.00034949110122397544,0.0,277.27734375,mha,0.0,16640.0,0.0,0.0
0.0,relu,277.27734375,1.0,cpu,,128.0,0.0005341804993804544,0.0,277.27734375,mha,0.0,66048.0,0.0,0.0
0.0,relu,277.27734375,1.0,cpu,,256.0,0.0012142916035372763,0.0,277.27734375,mha,0.0,263168.0,0.0,0.0
0.0,relu,277.27734375,1.0,cpu,,16.0,0.00027770280139520763,0.0,277.27734375,mha,0.0,1088.0,0.0,0.0
0.0,relu,277.27734375,1.0,cpu,,32.0,0.00029875719919800756,0.0,277.27734375,mha,0.0,4224.0,0.0,0.0
0.0,relu,277.27734375,1.0,cpu,,64.0,0.0003778914047870785,0.0,277.27734375,mha,0.0,16640.0,0.0,0.0
